気温,湿度
13.8,58
19.4,59
23.6,72
28.1,69
29.3,66
24.9,68
20.2,69
11.5,67
6.4,65
4.6,59
5.3,55
9.3,59
14.6,56
19.5,57
24,67
27.4,69
27.1,77
23.4,65
18.9,68
13.2,67
5.4,67
4.9,64
5.7,61
9.7,60
15.2,69
21.3,57
22.3,71
26.5,78
28.1,71
23.1,71
18.4,61
14.3,73
9.3,63
5.8,61
6.5,56
10.5,55
15.9,61
20.6,63
22.9,71
27,70
28.6,67
25.2,77
19.7,67
12.6,66
8.1,63
4.8,63
5.2,58
8.4,55
14.7,59
20.5,59
22.4,61
28.1,72
28.1,71
23.6,66
17.9,75
11.5,67
5.7,63
3.8,64
4.7,53
11.2,58
16.5,59
19.8,64
23.4,70
29.3,65
29.7,60
23.6,74
18.9,62
13.8,58
8.1,61
5.1,54
7.2,51
10.1,53
14.1,54
20.4,50
23.1,70
25.9,81
28.9,73
26.7,69
20.3,74
13.4,64
8.8,69
7.6,67
7.1,63
10.7,63
13.4,57
20.6,65
24.6,73
25.4,84
30.3,68
25.4,75
18,69
14,66
7.4,71
5,69
7.5,60
12,64
15.2,59
19.5,69
23.4,72
27.4,77
27.8,76
24.1,78
19.9,67
13,65
7.3,73
4.1,65
4.5,67
11,60
16.8,66
19.5,63
24.3,72
27.5,78
28.5,76
26.1,75
18.7,66
14.6,69
6.6,68
5.2,67
6.5,61
12.7,61
15.9,62
